FU1d,018,8110645
BL,014,8101015
FU6h,014,8102162
BL,013,8092039
FU1d,013,8092790
BL,011,8027599
FU1d,011,8028585
BL,010,8003430
FU1d,010,8006825
FU5d,010,8012689
BL,007,7224687
FU1d,007,7923382
FU5d,007,7930360
BL,004,7905871
FU1d,004,7905950
FU1d,004,7907861
BL,003,7896713
FU1d,003,7899083
BL,002,1
FU1d,002,7839795
BL,001,7796905
FU1d,001,7796911
FU5d,001,7806433
